author,comment,like_count,published_at
@breezy8835,"Menurut gua sistem yg paling sehat itu pemerintah fokus ke lapangan pekerjaan sama pendidikan gratis. Ayahnya bisa bekerja dan ngasih makan keluarga, anaknya bisa sekolah dengan tenang. Kalo indonesia bisa berantas korupsi, 2 sistem tadi masuk akal untuk dijalanin.",0,2025-04-22T03:39:04Z
@nigellaid,"Pertanyaan pentingnya, seberapa efektif kah peningkatan gizi pada anak jika hanya makan siang yg lauknya bergizi ?",0,2025-04-21T23:10:26Z
@lanzahm2567,3.20 😂😂😂😭😭🤣🤣,0,2025-04-19T19:07:34Z
@PernahGakSihChannel,"*gua g membela pemerintahan dan gua g membela masyarakatnya.*
+62 sekarang ini g bisa di kasih bantuan DUIT tp lebih bagus dalam bentuk makanan, usaha kecil2an dll ... kalo di kasih DUIT tuh liat dana BOS sama PIP, bukan hanya pemerintahnya yang korup bahkan pihak sekolahnya juga BIADAB kalo pun di program makan gratis ada orang yang BIADAB jg soal korup tapi setidaknya KELIATAN makanannya",0,2025-03-28T11:33:05Z
@Hihpyyy,"buang"" anggaran negara makan bergizi gratis",0,2025-03-28T09:12:32Z
@philosovhia7577,Disingkat jadi MSG,0,2025-03-27T22:14:44Z
@jelittabkn0189,kalau di 𝐗𝐔𝐗𝐔𝟒𝐃 emang paling mantap dah nyaman aja teruss. . . . .,0,2025-03-25T12:27:42Z
@affandihariyadi2404,"Ini masukan buat gw juga si sebagai pelaksana MBG banyak yg harus di perhatikan, dan di awasi. Terimakasih banyak bang 🙏",0,2025-03-24T23:08:24Z
@Ady_ptrs,"3:20 ini lah kenapa seharusnya bocah"" smp kebawah seharusnya gk boleh punya media sosial ato bahkan hp dah,",0,2025-03-16T18:29:46Z
@CLUMSY101,Program sampah yg sangat gampang d korupsi,0,2025-03-16T03:39:57Z
@DenisisaFamillyfriendly,free lunch is real😂,0,2025-03-14T03:32:55Z
@lewisnugraha,"@ferryirwandi 1:37 yang jelas lu jauh lebih baik daripada komentator bang, lo udah berkarya sedangkan mereka cuman nonton aja. Semangat terus bang, lo salah salah satu figur inspirasi gua.",0,2025-03-09T02:06:58Z
@IzalBoys,"Sebenar bagus tapi tidak tepat pada tempatnya seharusnya makan siang gratis itu ditaruh di sekolah yang pendalaman,banyangkan sekolah elit dikasih makanan yang seperti itu",1,2025-03-05T22:37:39Z
@baguscircle4377,Bang suaranya di stabilizer bang,0,2025-03-04T15:58:58Z
@nurhasanah2277,https://youtu.be/a0JKIPwjOHY?si=Qj6eXdd8lzUKqT7O,0,2025-03-02T04:26:41Z
@venomsnake1142,Jujur saya tidak setuju program makanan siang gratis. Karena yang mendapatkan manfaatnya hanya anak anak yang sekolah. Bagaimana dengan yang tidak memiliki kesempatan sekolah? Ga dapat makan gratis. Di sisi lain program makan siang gratis ini banyak menjadi ladang basah mafia. Lebih suka pendidikan gratis dan gaji guru ditinggikan.,0,2025-02-28T12:18:08Z
@FaizAbdillah-k1l,Ntah knp pas bagian soeharto nanya berasa gw lg di interogasi...,0,2025-02-28T06:38:34Z
@selipakage1709,"Setuju bang kami dipapua lagi nolak karena bukan ngamaunya tapi perencanaannya yang kurang bang, makanya masyarakat papua menolak bang.....telat 1 bulan",1,2025-02-26T03:03:46Z
@UntungBlitar-r6y,"Saya setuju dengan bang Ferry sebagai orang yang lahir di masa orba dan sekolah sampai kuliah di masa orba sangat merasakan represi. Maka seharusnya sekolah menjadi sangkar yang membesarkan anak didik untuk berani bersuara dan jujur. Apa yang terjadi malah sebaliknya, masih banyak terjadi represi yang nyaris sama.",0,2025-02-24T13:52:25Z
@sastroedan3260,Anda tulus❤,0,2025-02-21T19:59:40Z
@sawit7380,"Di tahun 60an .. Singapura sudah mula menghantar pegawai kesehatan ke semua sekolah sekolah .. untok memereksa kesehatan anak anak ...
Anak anak yang kurang berat badan .. di beri minum susu ...

Cuma anak anak yang tertentu saja yang di beri minum ...

Dana untok membiayai program ini tidak lah besar .. berbanding dengan program ""Makan Gratis"" Indonesia ...

Mungkin .. Indonesia boleh ambil contoh dari program ini ...",1,2025-02-21T13:08:34Z
